time,X,Y,Z
12.327339172363281,-0.0,0.0,-9.7
12.35214614868164,0.0,0.02,-9.71
12.376504898071289,0.0,0.02,-9.72
12.401016235351562,0.0,0.01,-9.72
12.425924062728882,0.0,0.03,-9.73
12.450897693634033,-0.01,0.02,-9.71
12.475812673568726,0.01,0.04,-9.7
12.500706911087036,0.02,0.02,-9.7
12.525604248046875,0.01,0.01,-9.7
12.550506830215454,0.02,0.03,-9.72
12.575396537780762,0.0,0.03,-9.72
12.600294351577759,0.0,0.03,-9.71
12.625211715698242,0.01,0.02,-9.73
12.650088787078857,0.0,0.02,-9.67
12.675100088119507,-0.0,0.01,-9.73
12.69998025894165,0.01,0.03,-9.7
12.724870681762695,0.01,0.03,-9.71
12.74976134300232,0.01,0.02,-9.76
12.774666786193848,0.0,0.01,-9.66
12.79966425895691,-0.0,0.03,-9.71
12.82456374168396,0.02,0.02,-9.71
12.849483489990234,0.02,0.02,-9.7
12.87435269355774,0.0,0.04,-9.73
12.899249076843262,0.0,0.02,-9.72
12.924152135848999,0.01,0.02,-9.72
12.949066400527954,0.01,0.03,-9.69
12.973957538604736,0.01,0.01,-9.68
12.99977970123291,0.0,0.02,-9.72
13.024744749069214,0.0,0.03,-9.71
13.04960322380066,0.01,0.03,-9.7
13.074464797973633,0.0,0.02,-9.69
13.098419189453125,0.0,0.02,-9.7
13.12336802482605,0.01,0.02,-9.73
13.148254871368408,0.0,0.03,-9.69
13.173145771026611,0.0,0.03,-9.76
13.198033571243286,0.01,0.02,-9.7
13.222912073135376,0.01,0.02,-9.69
13.247811079025269,0.0,0.02,-9.71
13.272733926773071,0.02,0.03,-9.68
13.297615051269531,0.03,0.03,-9.74
13.322507381439209,0.01,0.01,-9.72
13.347399711608887,0.0,0.03,-9.75
13.372316122055054,0.0,0.02,-9.71
13.397191524505615,0.01,0.02,-9.65
13.422103643417358,0.0,0.03,-9.7
13.447002410888672,0.01,0.01,-9.73
13.47190260887146,0.01,0.02,-9.73
13.496779441833496,0.02,0.03,-9.76
13.521679162979126,0.02,0.02,-9.71
13.546676635742188,-0.0,0.01,-9.7
13.57158637046814,0.0,0.03,-9.72
13.596470594406128,0.01,0.02,-9.7
13.622439861297607,-0.0,0.03,-9.72
13.647380352020264,0.01,0.03,-9.71
13.672239542007446,0.0,0.03,-9.7
13.697183847427368,0.02,0.02,-9.7
13.721069097518921,0.0,0.02,-9.71
13.745972871780396,0.0,0.03,-9.72
13.770880460739136,0.01,0.02,-9.71
13.795780181884766,0.01,0.03,-9.74
13.821598529815674,0.01,0.03,-9.7
13.846509218215942,0.0,0.02,-9.7
13.871388673782349,0.01,0.02,-9.71
13.896337509155273,0.0,0.02,-9.7
13.920248746871948,0.0,0.02,-9.72
13.945230722427368,-0.0,0.03,-9.73
13.970130920410156,0.0,0.01,-9.72
13.995023012161255,0.01,0.02,-9.71
14.020749568939209,0.01,0.03,-9.69
14.045807361602783,0.0,0.02,-9.69
14.070644617080688,0.0,0.03,-9.72
14.095614671707153,0.01,0.03,-9.7
14.119986534118652,0.0,0.02,-9.69
14.144432067871094,0.0,0.01,-9.76
14.169294595718384,0.0,0.02,-9.71
14.194199085235596,0.0,0.03,-9.71
14.219088077545166,0.02,0.03,-9.71
14.244021892547607,0.0,0.04,-9.71
14.268978357315063,-0.0,0.03,-9.71
14.293900966644287,0.0,0.02,-9.71
14.318774700164795,0.0,0.02,-9.7
14.343770265579224,-0.01,0.03,-9.67
14.368752479553223,-0.0,0.02,-9.7
14.393684148788452,0.01,0.04,-9.69
14.418562889099121,0.0,0.04,-9.72
14.443491458892822,0.0,0.01,-9.69
14.468472480773926,-0.0,0.02,-9.72
14.493375301361084,0.0,0.01,-9.72
14.518241882324219,0.01,0.03,-9.69
14.544261693954468,-0.0,0.03,-9.69
14.569160223007202,0.0,0.02,-9.72
14.594017267227173,0.0,0.03,-9.72
14.618874311447144,0.0,0.03,-9.71
14.642844676971436,0.01,0.03,-9.76
14.66773247718811,0.0,0.04,-9.7
14.69263243675232,0.02,0.03,-9.7
14.717539310455322,0.01,0.01,-9.71
14.743533849716187,-0.0,0.02,-9.68
14.768383979797363,0.0,0.03,-9.71
14.793261528015137,0.0,0.01,-9.71
14.818148612976074,0.01,0.02,-9.71
14.842223644256592,-0.0,0.03,-9.72
14.867201089859009,-0.01,0.01,-9.74
14.89211654663086,0.0,0.03,-9.7
14.917037963867188,0.0,0.02,-9.71
14.941911935806274,0.01,0.03,-9.7
14.966800928115845,0.01,0.03,-9.7
14.991689205169678,0.0,0.01,-9.7
15.016592264175415,0.0,0.04,-9.7
15.04242753982544,0.0,0.02,-9.73
15.067399263381958,0.02,0.02,-9.71
15.092246532440186,0.01,0.03,-9.71
15.117183446884155,0.01,0.02,-9.7
15.141080141067505,0.01,0.03,-9.71
15.16598129272461,0.0,0.02,-9.71
15.19087290763855,0.0,0.03,-9.72
15.215788125991821,0.01,0.03,-9.75
15.241469621658325,0.02,0.01,-9.7
15.26653242111206,0.01,0.02,-9.7
15.291417837142944,0.02,0.02,-9.74
15.31636929512024,0.02,0.02,-9.73
15.341225862503052,-0.0,0.02,-9.73
15.36525559425354,0.0,0.02,-9.71
15.390146017074585,0.01,0.03,-9.67
15.415045022964478,0.0,0.03,-9.69
15.43993616104126,0.01,0.01,-9.69
15.464828729629517,0.01,0.03,-9.69
15.489720821380615,0.01,0.02,-9.69
15.514618873596191,0.0,0.01,-9.7
15.539543151855469,0.01,0.03,-9.72
15.565392971038818,0.01,0.01,-9.7
15.59026288986206,0.01,0.02,-9.71
15.615198135375977,0.0,0.03,-9.7
15.640064477920532,0.02,0.02,-9.7
15.664005994796753,0.0,0.03,-9.7
15.688886880874634,0.01,0.03,-9.68
15.713806629180908,0.0,0.01,-9.7
15.73877739906311,-0.0,0.01,-9.71
15.764530420303345,0.01,0.04,-9.73
15.789600133895874,-0.01,0.03,-9.71
15.813653469085693,0.0,0.03,-9.71
15.838538408279419,0.0,0.03,-9.71
15.864121913909912,-0.0,0.01,-9.7
15.889033555984497,0.01,0.02,-9.72
15.913977146148682,0.0,0.02,-9.74
15.938851833343506,0.0,0.04,-9.71
15.96340560913086,0.0,0.03,-9.71
15.988035440444946,-0.0,0.02,-9.73
16.01293706893921,0.0,0.02,-9.69
16.037827968597412,0.02,0.02,-9.72
16.062745094299316,0.01,0.02,-9.73
16.08762001991272,0.01,0.01,-9.73
16.112515211105347,0.02,0.03,-9.67
16.137410402297974,0.02,0.02,-9.7
16.162304878234863,0.0,0.01,-9.75
16.18791127204895,0.01,0.02,-9.7
16.212778568267822,0.01,0.03,-9.73
16.23768949508667,0.0,0.02,-9.74
16.262680530548096,-0.0,0.01,-9.71
16.287001371383667,-0.0,0.04,-9.69
16.31188988685608,0.0,0.04,-9.7
